director,revenue,title
Fenton Bailey,742898.0,Party Monster
Randy Barbato,742898.0,Party Monster
Lilly Wachowski,424988211.0,The Matrix Revolutions
Lana Wachowski,424988211.0,The Matrix Revolutions
Charles Brabin,9000000.0,Ben-Hur: A Tale of the Christ
Rex Ingram,9000000.0,Ben-Hur: A Tale of the Christ
Christy Cabanne,9000000.0,Ben-Hur: A Tale of the Christ
Fred Niblo,9000000.0,Ben-Hur: A Tale of the Christ
J.J. Cohn,9000000.0,Ben-Hur: A Tale of the Christ
Howard Hawks,9012000.0,Red River
Arthur Rosson,9012000.0,Red River
Bobby Farrelly,33828318.0,Stuck on You
Peter Farrelly,33828318.0,Stuck on You
Eric Bress,96060858.0,The Butterfly Effect
J. Mackye Gruber,96060858.0,The Butterfly Effect
Bart Freundlich,16702864.0,Catch That Kid
James Sbardellati,16702864.0,Catch That Kid
Peter Merwin,16702864.0,Catch That Kid
Will Finn,103951461.0,Home on the Range
John Sanford,103951461.0,Home on the Range
Edward Lachman,447741.0,Ken Park
Larry Clark,447741.0,Ken Park
Andrew Adamson,919838758.0,Shrek 2
Kelly Asbury,919838758.0,Shrek 2
Conrad Vernon,919838758.0,Shrek 2
John Ford,50000000.0,How the West Was Won
George Marshall,50000000.0,How the West Was Won
Henry Hathaway,50000000.0,How the West Was Won
Richard Thorpe,50000000.0,How the West Was Won
Vicky Jenson,367275019.0,Shark Tale
Bibo Bergeron,367275019.0,Shark Tale
Rob Letterman,367275019.0,Shark Tale
Steven Spielberg,29450919.0,Twilight Zone: The Movie
Joe Dante,29450919.0,Twilight Zone: The Movie
John Landis,29450919.0,Twilight Zone: The Movie
George Miller,29450919.0,Twilight Zone: The Movie
Zana Briski,3515061.0,Born into Brothels
Ross Kauffman,3515061.0,Born into Brothels
James Whale,8000000.0,Hell's Angels
Howard Hughes,8000000.0,Hell's Angels
Edmund Goulding,8000000.0,Hell's Angels
Chris Wedge,260696994.0,Robots
Carlos Saldanha,260696994.0,Robots
Robert Rodriguez,158733820.0,Sin City
Frank Miller,158733820.0,Sin City
Bobby Farrelly,50451307.0,Fever Pitch
Peter Farrelly,50451307.0,Fever Pitch
Eric Darnell,532680671.0,Madagascar
Tom McGrath,532680671.0,Madagascar
Mervyn LeRoy,30000000.0,Quo Vadis
Anthony Mann,30000000.0,Quo Vadis
Henry Alex Rubin,1750211.0,Murderball
Dana Adam Shapiro,1750211.0,Murderball
Tim Burton,117195061.0,Corpse Bride
Mike Johnson,117195061.0,Corpse Bride
Nick Park,192452832.0,The Curse of the Were-Rabbit
Steve Box,192452832.0,The Curse of the Were-Rabbit
Nicholas Ray,10000000.0,55 Days at Peking
Guy Green,10000000.0,55 Days at Peking
Cory Edwards,51053787.0,Hoodwinked!
Todd Edwards,51053787.0,Hoodwinked!
Tony Leech,51053787.0,Hoodwinked!
Jason Friedberg,48548426.0,Date Movie
Aaron Seltzer,48548426.0,Date Movie
Karey Kirkpatrick,343397247.0,Over the Hedge
Tim Johnson,343397247.0,Over the Hedge
John Lasseter,461983149.0,Cars
Joe Ranft,461983149.0,Cars
Anthony Russo,130431368.0,"You, Me and Dupree"
Joe Russo,130431368.0,"You, Me and Dupree"
Jonathan Dayton,100523181.0,Little Miss Sunshine
