genre,revenue,title
Adventure,84563118.0,The Poseidon Adventure
Animation,267447150.0,Bambi
Drama,267447150.0,Bambi
Family,267447150.0,Bambi
Animation,21288692.0,The Black Cauldron
Comedy,38625550.0,The Great Mouse Detective
Animation,38625550.0,The Great Mouse Detective
Family,38625550.0,The Great Mouse Detective
Animation,222300000.0,The Little Mermaid
Family,222300000.0,The Little Mermaid
Adventure,215880014.0,One Hundred and One Dalmatians
Animation,215880014.0,One Hundred and One Dalmatians
Comedy,215880014.0,One Hundred and One Dalmatians
Family,215880014.0,One Hundred and One Dalmatians
Animation,87404651.0,Peter Pan
Music,87404651.0,Peter Pan
Family,87404651.0,Peter Pan
Adventure,87404651.0,Peter Pan
Fantasy,87404651.0,Peter Pan
Adventure,47431461.0,The Rescuers Down Under
Animation,47431461.0,The Rescuers Down Under
Crime,47431461.0,The Rescuers Down Under
Family,47431461.0,The Rescuers Down Under
Fantasy,47431461.0,The Rescuers Down Under
Fantasy,71215869.0,The Rescuers
Family,71215869.0,The Rescuers
Animation,71215869.0,The Rescuers
Adventure,71215869.0,The Rescuers
Fantasy,51000000.0,Sleeping Beauty
Animation,51000000.0,Sleeping Beauty
Romance,51000000.0,Sleeping Beauty
Family,51000000.0,Sleeping Beauty
Drama,27100027.0,All Dogs Go to Heaven
Animation,27100027.0,All Dogs Go to Heaven
Family,27100027.0,All Dogs Go to Heaven
Comedy,27100027.0,All Dogs Go to Heaven
Fantasy,27100027.0,All Dogs Go to Heaven
Fantasy,40577001.0,The Dark Crystal
Adventure,171757863.0,Antz
Animation,171757863.0,Antz
Comedy,171757863.0,Antz
Family,171757863.0,Antz
Animation,100491683.0,The Rugrats Movie
Family,100491683.0,The Rugrats Movie
Action,10000000.0,King Kong
Adventure,10000000.0,King Kong
Drama,10000000.0,King Kong
Horror,10000000.0,King Kong
Adventure,218613188.0,The Prince of Egypt
Animation,218613188.0,The Prince of Egypt
Drama,218613188.0,The Prince of Egypt
Family,218613188.0,The Prince of Egypt
Music,218613188.0,The Prince of Egypt
Action,463517383.0,The Matrix
Science Fiction,463517383.0,The Matrix
Comedy,2091037.0,It Came from Hollywood
Documentary,2091037.0,It Came from Hollywood
Adventure,448000000.0,Tarzan
Animation,448000000.0,Tarzan
Drama,448000000.0,Tarzan
Family,448000000.0,Tarzan
Comedy,235483004.0,American Pie
Romance,235483004.0,American Pie
Horror,248000000.0,The Blair Witch Project
Mystery,248000000.0,The Blair Witch Project
Action,26518355.0,Damien: Omen II
Drama,26518355.0,Damien: Omen II
Horror,26518355.0,Damien: Omen II
Thriller,26518355.0,Damien: Omen II
Comedy,83453539.0,Airplane!
Drama,23438120.0,Caligula
History,23438120.0,Caligula
Romance,23438120.0,Caligula
Animation,11373501.0,Thumbelina
Drama,11373501.0,Thumbelina
Family,11373501.0,Thumbelina
Fantasy,11373501.0,Thumbelina
Drama,966878.0,Sparrows
Drama,10508.0,Naturally Native
Action,50100000.0,The Longest Day
Drama,50100000.0,The Longest Day
History,50100000.0,The Longest Day
War,50100000.0,The Longest Day
History,29548291.0,Tora! Tora! Tora!
Action,29548291.0,Tora! Tora! Tora!
Drama,29548291.0,Tora! Tora! Tora!
Adventure,29548291.0,Tora! Tora! Tora!
War,29548291.0,Tora! Tora! Tora!
Animation,90874570.0,Fantasia 2000
Family,90874570.0,Fantasia 2000
Music,90874570.0,Fantasia 2000
Horror,14828081.0,Supernova
Science Fiction,14828081.0,Supernova
Thriller,14828081.0,Supernova
Action,5617391.0,Batman: Mask of the Phantasm
Adventure,5617391.0,Batman: Mask of the Phantasm
Animation,5617391.0,Batman: Mask of the Phantasm
Family,5617391.0,Batman: Mask of the Phantasm
Adventure,76432727.0,The Road to El Dorado
Animation,76432727.0,The Road to El Dorado
Comedy,76432727.0,The Road to El Dorado
Family,76432727.0,The Road to El Dorado
Drama,4000000.0,The Lords of Flatbush
Animation,354248063.0,Dinosaur
Family,354248063.0,Dinosaur
Action,36230219.0,Mad Max Beyond Thunderdome
Adventure,36230219.0,Mad Max Beyond Thunderdome
Science Fiction,36230219.0,Mad Max Beyond Thunderdome
Animation,36754634.0,Titan A.E.
Action,36754634.0,Titan A.E.
Science Fiction,36754634.0,Titan A.E.
Family,36754634.0,Titan A.E.
Adventure,36754634.0,Titan A.E.
Animation,224834564.0,Chicken Run
Comedy,224834564.0,Chicken Run
Family,224834564.0,Chicken Run
Comedy,149270999.0,"Me, Myself & Irene"
Adventure,484409218.0,Shrek
Animation,484409218.0,Shrek
Comedy,484409218.0,Shrek
Family,484409218.0,Shrek
Fantasy,484409218.0,Shrek
Animation,186053725.0,Atlantis: The Lost Empire
Family,186053725.0,Atlantis: The Lost Empire
Adventure,186053725.0,Atlantis: The Lost Empire
Science Fiction,186053725.0,Atlantis: The Lost Empire
Adventure,85131830.0,Final Fantasy: The Spirits Within
Action,85131830.0,Final Fantasy: The Spirits Within
Animation,85131830.0,Final Fantasy: The Spirits Within
Fantasy,85131830.0,Final Fantasy: The Spirits Within
Science Fiction,85131830.0,Final Fantasy: The Spirits Within
Thriller,85131830.0,Final Fantasy: The Spirits Within
Action,14697005.0,Kickboxer
Thriller,14697005.0,Kickboxer
Action,63408614.0,Tango & Cash
Adventure,63408614.0,Tango & Cash
Comedy,63408614.0,Tango & Cash
Adventure,13596911.0,Osmosis Jones
Animation,13596911.0,Osmosis Jones
Action,13596911.0,Osmosis Jones
Comedy,13596911.0,Osmosis Jones
Family,13596911.0,Osmosis Jones
Horror,74558115.0,From Hell
Mystery,74558115.0,From Hell
Thriller,74558115.0,From Hell
Comedy,141069860.0,Shallow Hal
Romance,141069860.0,Shallow Hal
Comedy,14782676.0,Out Cold
Adventure,109862682.0,Return to Never Land
Fantasy,109862682.0,Return to Never Land
Animation,109862682.0,Return to Never Land
Family,109862682.0,Return to Never Land
Fantasy,71368.0,A Troll in Central Park
Animation,71368.0,A Troll in Central Park
Science Fiction,71368.0,A Troll in Central Park
Family,71368.0,A Troll in Central Park
Drama,129000000.0,About a Boy
Comedy,129000000.0,About a Boy
Romance,129000000.0,About a Boy
Western,122563539.0,Spirit: Stallion of the Cimarron
Animation,122563539.0,Spirit: Stallion of the Cimarron
Adventure,122563539.0,Spirit: Stallion of the Cimarron
Comedy,122563539.0,Spirit: Stallion of the Cimarron
Family,122563539.0,Spirit: Stallion of the Cimarron
Animation,145771527.0,Lilo & Stitch
Family,145771527.0,Lilo & Stitch
Documentary,1434436.0,The Kid Stays in the Picture
Comedy,20458340.0,Top Secret!
Action,43928932.0,The Transporter
Crime,43928932.0,The Transporter
Thriller,43928932.0,The Transporter
Crime,12000000.0,Knockaround Guys
Thriller,12000000.0,Knockaround Guys
Adventure,41744718.0,Casino Royale
Action,41744718.0,Casino Royale
Comedy,41744718.0,Casino Royale
Adventure,109578115.0,Treasure Planet
Animation,109578115.0,Treasure Planet
Family,109578115.0,Treasure Planet
Fantasy,109578115.0,Treasure Planet
Science Fiction,109578115.0,Treasure Planet
Adventure,738599701.0,The Matrix Reloaded
Action,738599701.0,The Matrix Reloaded
Thriller,738599701.0,The Matrix Reloaded
Science Fiction,738599701.0,The Matrix Reloaded
Family,26288320.0,Sinbad: Legend of the Seven Seas
Animation,26288320.0,Sinbad: Legend of the Seven Seas
Adventure,26288320.0,Sinbad: Legend of the Seven Seas
Comedy,742898.0,Party Monster
Drama,742898.0,Party Monster
Crime,742898.0,Party Monster
Adventure,424988211.0,The Matrix Revolutions
Action,424988211.0,The Matrix Revolutions
Thriller,424988211.0,The Matrix Revolutions
Science Fiction,424988211.0,The Matrix Revolutions
Adventure,9000000.0,Ben-Hur: A Tale of the Christ
Drama,9000000.0,Ben-Hur: A Tale of the Christ
Western,9012000.0,Red River
Comedy,33828318.0,Stuck on You
Science Fiction,96060858.0,The Butterfly Effect
Thriller,96060858.0,The Butterfly Effect
Family,16702864.0,Catch That Kid
Action,16702864.0,Catch That Kid
Adventure,16702864.0,Catch That Kid
Animation,103951461.0,Home on the Range
Family,103951461.0,Home on the Range
Drama,447741.0,Ken Park
Adventure,919838758.0,Shrek 2
Animation,919838758.0,Shrek 2
Comedy,919838758.0,Shrek 2
Family,919838758.0,Shrek 2
Fantasy,919838758.0,Shrek 2
History,50000000.0,How the West Was Won
Western,50000000.0,How the West Was Won
Adventure,50000000.0,How the West Was Won
Animation,367275019.0,Shark Tale
Action,367275019.0,Shark Tale
Comedy,367275019.0,Shark Tale
Family,367275019.0,Shark Tale
Drama,29450919.0,Twilight Zone: The Movie
Fantasy,29450919.0,Twilight Zone: The Movie
Horror,29450919.0,Twilight Zone: The Movie
Science Fiction,29450919.0,Twilight Zone: The Movie
Thriller,29450919.0,Twilight Zone: The Movie
Documentary,3515061.0,Born into Brothels
Action,8000000.0,Hell's Angels
Drama,8000000.0,Hell's Angels
History,8000000.0,Hell's Angels
Animation,260696994.0,Robots
Comedy,260696994.0,Robots
Family,260696994.0,Robots
Science Fiction,260696994.0,Robots
Action,158733820.0,Sin City
Thriller,158733820.0,Sin City
Crime,158733820.0,Sin City
Comedy,50451307.0,Fever Pitch
Drama,50451307.0,Fever Pitch
Romance,50451307.0,Fever Pitch
Family,532680671.0,Madagascar
Animation,532680671.0,Madagascar
Drama,30000000.0,Quo Vadis
History,30000000.0,Quo Vadis
Romance,30000000.0,Quo Vadis
Documentary,1750211.0,Murderball
Romance,117195061.0,Corpse Bride
Fantasy,117195061.0,Corpse Bride
Animation,117195061.0,Corpse Bride
Music,117195061.0,Corpse Bride
Adventure,192452832.0,The Curse of the Were-Rabbit
Animation,192452832.0,The Curse of the Were-Rabbit
Comedy,192452832.0,The Curse of the Were-Rabbit
Family,192452832.0,The Curse of the Were-Rabbit
Action,10000000.0,55 Days at Peking
Drama,10000000.0,55 Days at Peking
History,10000000.0,55 Days at Peking
Animation,51053787.0,Hoodwinked!
