actor,revenue,title
Ricardo Chacon,714766572.0,Captain America: The Winter Soldier
Griffin M. Allen,714766572.0,Captain America: The Winter Soldier
Ann Russo,714766572.0,Captain America: The Winter Soldier
Joe Rosalina,714766572.0,Captain America: The Winter Soldier
Michael Debeljak,714766572.0,Captain America: The Winter Soldier
Eddie J. Fernandez,714766572.0,Captain America: The Winter Soldier
Jody Hart,714766572.0,Captain America: The Winter Soldier
Steven Culp,714766572.0,Captain America: The Winter Soldier
Derek Hughes,714766572.0,Captain America: The Winter Soldier
Wendy Hoopes,714766572.0,Captain America: The Winter Soldier
Ethan Rains,714766572.0,Captain America: The Winter Soldier
Dominic Rains,714766572.0,Captain America: The Winter Soldier
Charles Wittman,714766572.0,Captain America: The Winter Soldier
"Andy Martinez, Jr.",714766572.0,Captain America: The Winter Soldier
Michael De Geus,714766572.0,Captain America: The Winter Soldier
Terence O'Rourke,714766572.0,Captain America: The Winter Soldier
Anne Grimenstein,714766572.0,Captain America: The Winter Soldier
Dante Rosalina,714766572.0,Captain America: The Winter Soldier
Robert Clotworthy,714766572.0,Captain America: The Winter Soldier
June Christopher,714766572.0,Captain America: The Winter Soldier
Gary Sinise,714766572.0,Captain America: The Winter Soldier
Dean Barlage,714766572.0,Captain America: The Winter Soldier
Henry Goodman,714766572.0,Captain America: The Winter Soldier
Thomas Kretschmann,714766572.0,Captain America: The Winter Soldier
Elizabeth Olsen,714766572.0,Captain America: The Winter Soldier
Debbie Scaletta,714766572.0,Captain America: The Winter Soldier
Aaron Taylor-Johnson,714766572.0,Captain America: The Winter Soldier
Sarah Drew,10429707.0,Moms' Night Out
Sean Astin,10429707.0,Moms' Night Out
Patricia Heaton,10429707.0,Moms' Night Out
Logan White,10429707.0,Moms' Night Out
Robert Amaya ,10429707.0,Moms' Night Out
Harry Shum Jr.,10429707.0,Moms' Night Out
Abbie Cobb,10429707.0,Moms' Night Out
Sammi Hanratty,10429707.0,Moms' Night Out
Alex Kendrick,10429707.0,Moms' Night Out
Kevin Downes,10429707.0,Moms' Night Out
Anjelah N. Johnson,10429707.0,Moms' Night Out
Rhoda Griffis,10429707.0,Moms' Night Out
Manwell Reyes,10429707.0,Moms' Night Out
Jason Burkey,10429707.0,Moms' Night Out
Brett Rice,10429707.0,Moms' Night Out
Lance E. Nichols,10429707.0,Moms' Night Out
Randy McDowell,10429707.0,Moms' Night Out
Brad Heller,10429707.0,Moms' Night Out
Michael Leone,10429707.0,Moms' Night Out
Shiloh Nelson,10429707.0,Moms' Night Out
David Hunt,10429707.0,Moms' Night Out
Trace Adkins,10429707.0,Moms' Night Out
Baya Rehaz,121179.0,Afflicted
Derek Lee,121179.0,Afflicted
Clif Prowse,121179.0,Afflicted
Edo van Breemen,121179.0,Afflicted
Zachary Gray,121179.0,Afflicted
Michael Gill,121179.0,Afflicted
Jason Lee,121179.0,Afflicted
Benjamin Zeitoun,121179.0,Afflicted
Gary Redekop,121179.0,Afflicted
Lily Py Lee,121179.0,Afflicted
Tasya Teles,121179.0,Afflicted
Jonah Hill,188441614.0,22 Jump Street
Channing Tatum,188441614.0,22 Jump Street
Dave Franco,188441614.0,22 Jump Street
Ice Cube,188441614.0,22 Jump Street
Nick Offerman,188441614.0,22 Jump Street
Peter Stormare,188441614.0,22 Jump Street
Rob Riggle,188441614.0,22 Jump Street
Wyatt Russell,188441614.0,22 Jump Street
Richard Grieco,188441614.0,22 Jump Street
Amber Stevens,188441614.0,22 Jump Street
Jillian Bell,188441614.0,22 Jump Street
Jimmy Tatro,188441614.0,22 Jump Street
Caroline Aaron,188441614.0,22 Jump Street
Joe Chrest,188441614.0,22 Jump Street
Marc Evan Jackson,188441614.0,22 Jump Street
Eddie J. Fernandez,188441614.0,22 Jump Street
Dax Flame,188441614.0,22 Jump Street
Johnny Pemberton,188441614.0,22 Jump Street
Anna Faris,188441614.0,22 Jump Street
Bill Hader,188441614.0,22 Jump Street
Patton Oswalt,188441614.0,22 Jump Street
Seth Rogen,188441614.0,22 Jump Street
Queen Latifah,188441614.0,22 Jump Street
Dustin Nguyen,188441614.0,22 Jump Street
Ramiro 'Ramir' Delgado Ruiz,188441614.0,22 Jump Street
Mila Kunis,183987723.0,Jupiter Ascending
Channing Tatum,183987723.0,Jupiter Ascending
Sean Bean,183987723.0,Jupiter Ascending
Eddie Redmayne,183987723.0,Jupiter Ascending
Douglas Booth,183987723.0,Jupiter Ascending
Tuppence Middleton,183987723.0,Jupiter Ascending
Gugu Mbatha-Raw,183987723.0,Jupiter Ascending
Nikki Amuka-Bird,183987723.0,Jupiter Ascending
Christina Cole,183987723.0,Jupiter Ascending
Nicholas A. Newman,183987723.0,Jupiter Ascending
Ramon Tikaram,183987723.0,Jupiter Ascending
Ariyon Bakare,183987723.0,Jupiter Ascending
Maria Doyle Kennedy,183987723.0,Jupiter Ascending
Frog Stone,183987723.0,Jupiter Ascending
David Ajala,183987723.0,Jupiter Ascending
Bae Doona,183987723.0,Jupiter Ascending
Terry Gilliam,183987723.0,Jupiter Ascending
Vanessa Kirby,183987723.0,Jupiter Ascending
James D'Arcy,183987723.0,Jupiter Ascending
Simon Dutton,183987723.0,Jupiter Ascending
Spencer Wilding,183987723.0,Jupiter Ascending
Demi Kazanis,183987723.0,Jupiter Ascending
Kick Gurry,183987723.0,Jupiter Ascending
Tim Pigott-Smith,183987723.0,Jupiter Ascending
Charlotte Beaumont,183987723.0,Jupiter Ascending
Neil Fingleton,183987723.0,Jupiter Ascending
Jeremy Swift,183987723.0,Jupiter Ascending
Katherine Cunningham,183987723.0,Jupiter Ascending
Luke Neal,183987723.0,Jupiter Ascending
Dilyana Bouklieva,183987723.0,Jupiter Ascending
Edward Hogg,183987723.0,Jupiter Ascending
Jozef Aoki,183987723.0,Jupiter Ascending
Tamela D'Amico,183987723.0,Jupiter Ascending
Kara Lily Hayworth,183987723.0,Jupiter Ascending
Tim Connolly,183987723.0,Jupiter Ascending
Alexandra Fraser,183987723.0,Jupiter Ascending
Charlotte Rickard,183987723.0,Jupiter Ascending
Hazel D'Jan,183987723.0,Jupiter Ascending
Eric Ian,183987723.0,Jupiter Ascending
Derek Blankenship,183987723.0,Jupiter Ascending
Symara A. Templeman,183987723.0,Jupiter Ascending
Ekaterina Zalitko,183987723.0,Jupiter Ascending
Sharon Coleman,183987723.0,Jupiter Ascending
Georgia Winters,183987723.0,Jupiter Ascending
Mark Norris,183987723.0,Jupiter Ascending
Edd Osmond,183987723.0,Jupiter Ascending
Jon Norris,183987723.0,Jupiter Ascending
Elina Alminas,183987723.0,Jupiter Ascending
Andy Ahrens,183987723.0,Jupiter Ascending
Jermaine Tindell,183987723.0,Jupiter Ascending
Karen Anderson,183987723.0,Jupiter Ascending
Vander McLeod,183987723.0,Jupiter Ascending
Thomas Gaitsch,183987723.0,Jupiter Ascending
Oleg Nasobin,183987723.0,Jupiter Ascending
Sarah Campbell,183987723.0,Jupiter Ascending
Olia Klein,183987723.0,Jupiter Ascending
Kenny Knight,183987723.0,Jupiter Ascending
Rimmel Daniel,183987723.0,Jupiter Ascending
Sarah Crowden,183987723.0,Jupiter Ascending
Cliff Fleming,183987723.0,Jupiter Ascending
Sean Baker,183987723.0,Jupiter Ascending
Nathan Geist,183987723.0,Jupiter Ascending
